transcript	Control_rep1	Control_rep2	Control_rep3	Arsenite_rep1	Arsenite_rep2	Arsenite_rep3
ENST00000368322	44	31	25	19	12	12
ENST00000368323	44	31	25	19	12	12
ENST00000368325	159	80	61	28	8	31
ENST00000368326	16	13	11	1	1	
ENST00000368328	154	77	62	28	8	30
ENST00000368330	169	127	110	65	47	63
ENST00000368331	379	351	309	262	228	211
ENST00000368332	56	37	36	23	14	20
ENST00000368336	476	349	263	38	33	36
ENST00000368339	177	137	121	67	48	66
ENST00000368340	177	136	121	67	48	66
ENST00000368341	127	80	64	18	13	21
ENST00000368346	597	606	527	370	294	282
ENST00000368347	124	111	109	25	23	35
ENST00000368349	123	111	109	25	23	35
ENST00000368352	123	111	110	28	26	36
ENST00000368354	126	108	109	29	27	36
ENST00000368356	870	608	439	83	46	62
ENST00000368357	49	56	64	86	51	47
ENST00000368358	13	14	13	6	3	6
ENST00000368361	57	76	74	39	40	31
ENST00000368364	99	104	51	14	10	12
ENST00000368365	87	95	45	13	7	12
ENST00000368368	7	6	9	4	3	6
ENST00000368373	62	40	40	6	9	11
ENST00000368376	162	143	80	39	25	21
ENST00000368378	30	30	35	24	26	23
ENST00000368382	15	5	12	5	7	8
ENST00000368383	15	6	13	5	8	8
ENST00000368385	14	4	12	5	7	8
ENST00000368388	1376	976	593	155	134	115
ENST00000368389	63	46	43	9	4	14
ENST00000368390	125	85	80	26	5	19
ENST00000368392	148	93	88	27	5	21
ENST00000368393	95	72	61	19	5	17
ENST00000368396	86	54	51	10	4	16
ENST00000368398	111	76	74	20	4	18
ENST00000368399	19	13	6	1		1
ENST00000368400	19	15	7	1		1
ENST00000368401	12	10	3	1		1
ENST00000368402	1309	905	547	146	128	111
ENST00000368404	78	58	28	4	2	2
ENST00000368405	11	5	6			
ENST00000368406	44	53	33	7	1	8
ENST00000368407	53	62	42	7	1	11
ENST00000368408	38	22	18	2	5	5
ENST00000368409	28	24	18	4	1	7
ENST00000368412	385	270	202	54	38	76
ENST00000368413	262	191	154	34	27	55
ENST00000368424	2				2	2
ENST00000368426	74	58	51	78	26	41
ENST00000368428	23	20	23	23	10	8
ENST00000368431	15	11	10	4	2	3
ENST00000368432	23	14	16	6	3	4
ENST00000368433	26	14	15	4	6	3
ENST00000368436	72	41	32	5	3	5
ENST00000368439	57	31	31	4	4	4
ENST00000368440	19	11	7			3
ENST00000368445	108	70	64	26	10	32
ENST00000368446	152	92	57	45	56	67
ENST00000368448	152	92	57	45	56	67
ENST00000368449	89	49	51	23	8	28
ENST00000368450	106	66	62	26	9	32
ENST00000368452	152	92	57	45	56	67
ENST00000368453	107	66	62	26	10	32
ENST00000368455	64	40	28	11	9	9
ENST00000368456	18	19	19	2	5	7
ENST00000368457	19	19	19	2	6	8
ENST00000368460	27	21	10	3	1	1
ENST00000368463	147	99	55	23	8	14
ENST00000368465	147	99	55	23	8	14
ENST00000368467	291	217	135	19	19	21
ENST00000368468	219	168	144	39	18	38
ENST00000368471	524	458	370	161	113	146
ENST00000368474	631	549	434	215	150	200
ENST00000368475	3	1		4	1	2
ENST00000368480				1		
ENST00000368482				1		
ENST00000368485	2		2	1		
ENST00000368487	4	8	7	3	2	6
ENST00000368488	6	5	7	4	7	4
ENST00000368489	42	50	39	48	33	37
ENST00000368491	6	5	7	4	7	4
ENST00000368494	71	39	38	1	2	6
ENST00000368498	76	57	42	8	4	6
ENST00000368504	639	576	371	121	76	88
ENST00000368516	19	8	9	9	7	11
ENST00000368518	12	11	11	7	10	10
ENST00000368519	22	29	19	9	10	12
ENST00000368521	22	29	19	9	10	12
ENST00000368530	2971	2191	1268	174	152	147
ENST00000368531	3429	2473	1453	217	177	191
ENST00000368533	3461	2510	1483	218	178	192
ENST00000368547	942	712	419	60	34	72
ENST00000368551	8	6	2	1	1	
ENST00000368552	8	6	2	1	1	
ENST00000368553	16	11	9	4	1	1
ENST00000368554	30	26	20	16	4	18
ENST00000368559	17	14	9	5	4	3
ENST00000368564	15	14	19	10	9	10
ENST00000368571	2	3	3		2	1
ENST00000368573	19	14	6	10	6	3
ENST00000368575	464	346	224	64	78	44
ENST00000368576	38	38	29	22	14	14
ENST00000368580	1			1		
ENST00000368581			1	1		
ENST00000368586			1			
ENST00000368589	222	156	120	76	59	79
ENST00000368590	5	7	7	4	2	
ENST00000368593	6	8	10	4	2	1
ENST00000368594	19	18	16	11	5	4
ENST00000368600	96	93	63	19	16	21
ENST00000368601	29	30	26	6	4	8
ENST00000368603	99	97	65	20	16	21
ENST00000368605	1					
ENST00000368607	99	97	65	20	16	21
ENST00000368608	758	528	277	85	56	84
ENST00000368612	4	1	1	4	3	1
ENST00000368613	7	1	1	7	3	3
ENST00000368614	7	1	1	7	3	3
ENST00000368619	5	5	2	1	3	
ENST00000368620	15	7	2	2	2	3
ENST00000368621	157	83	80	5	2	11
ENST00000368622	20	22	6	3	2	5
ENST00000368623	157	83	80	5	2	11
ENST00000368627	22	7	6	4	1	3
ENST00000368630	15	10	13	1	3	8
ENST00000368632	646	515	338	75	86	50
ENST00000368633	27	24	25	3	6	14
ENST00000368636	959	466	331	73	69	51
ENST00000368644	791	554	349	94	73	117
ENST00000368646	40	39	66	49	27	48
ENST00000368653	1946	1652	1284	375	317	333
ENST00000368654	2127	1789	1405	425	345	360
ENST00000368655	104	82	62	28	21	32
ENST00000368656	4	1				
ENST00000368662	10	5	17	7	9	4
ENST00000368667	3	4	4	2	1	4
ENST00000368678	3	4	4	2	1	4
ENST00000368680				1		
ENST00000368681	351	233	183	32	14	25
ENST00000368682	3	4	4	2	1	4
ENST00000368684	236	178	131	18	10	9
ENST00000368685	53	39	22	7	2	7
ENST00000368686	9	13	13	2		3
ENST00000368687	73	62	56	23	7	18
ENST00000368689				1		
ENST00000368690	75	65	56	23	7	18
ENST00000368691	2			2	2	1
ENST00000368693	7	2	2	3	5	5
ENST00000368694	74	63	56	23	7	18
ENST00000368696		1				
ENST00000368698	2	8	5	2		
ENST00000368701	579	382	263	62	35	42
ENST00000368702	579	382	263	62	35	42
ENST00000368703	400	281	183	32	17	34
ENST00000368704	400	281	183	32	17	34
ENST00000368705	400	281	183	32	17	34
ENST00000368706	400	281	183	32	17	34
ENST00000368707		2	1		1	
ENST00000368708		2	1		1	
ENST00000368709		2	1		1	
ENST00000368710		2	1		1	
ENST00000368714	3			1		
ENST00000368715	3			1		
ENST00000368716	3			1		
ENST00000368719	624	338	216	36	27	22
ENST00000368720	624	338	216	36	27	22
ENST00000368721	34	25	21	4	4	7
ENST00000368722		1				
ENST00000368723		1				
ENST00000368728		1				
ENST00000368729		1				
ENST00000368730	5	8	8	2	3	2
ENST00000368732	4	2	4			
ENST00000368733	4	2	4			
ENST00000368734	5	8	8	2	3	2
ENST00000368735	5	8	8	2	3	2
ENST00000368737	1					
ENST00000368738	6	5	2			
ENST00000368759	576	477	244	63	56	45
ENST00000368761	24	24	16	9	4	14
ENST00000368774	81	83	55	28	22	22
ENST00000368778	81	83	55	28	22	22
ENST00000368786	84	85	56	28	22	22
ENST00000368797	84	85	56	28	22	22
ENST00000368802	61	82	64	32	16	37
ENST00000368806					1	
ENST00000368809	840	571	334	72	49	45
ENST00000368811	840	571	334	72	49	45
ENST00000368813	16	6	13	11	5	6
ENST00000368814	10	10	7	3	1	3
ENST00000368815	50	51	60	28	35	26
ENST00000368817	1					
ENST00000368822	226	179	103	36	32	40
ENST00000368823	222	177	103	36	32	40
ENST00000368824	226	179	103	36	32	40
ENST00000368825	214	166	98	34	31	38
ENST00000368827	226	179	103	36	32	40
ENST00000368829	476	332	201	39	14	38
ENST00000368830	551	413	252	47	27	44
ENST00000368836	72	51	53	17	20	22
ENST00000368838	132	102	94	52	36	28
ENST00000368839	29	28	18	4	2	1
ENST00000368841	2	4	2	1		1
ENST00000368842	29	30	19	4	2	1
ENST00000368843	311	248	199	52	48	52
ENST00000368845	249	156	99	10	4	9
ENST00000368848	313	197	165	47	46	37
ENST00000368849	333	205	170	47	47	38
ENST00000368850	1	1				
ENST00000368851	2	1		1	3	3
ENST00000368858	304	248	155	40	16	20
ENST00000368859	24	24	15	2		1
ENST00000368863	326	333	234	152	90	131
ENST00000368864	35	24	6	1	2	5
ENST00000368865	304	248	155	40	16	20
ENST00000368868	128	120	99	37	28	28
ENST00000368869	162	115	97	8	2	4
ENST00000368870	20	25	39	23	25	31
ENST00000368872	137	100	100	58	22	76
ENST00000368873	131	97	97	58	21	67
ENST00000368874	137	100	100	58	22	76
ENST00000368875	131	98	98	58	22	68
ENST00000368876	77	52	44	6	2	7
ENST00000368877	77	52	44	6	2	7
ENST00000368881	5034	3562	2135	360	299	242
ENST00000368882	115	74	68	7	2	8
ENST00000368884	5034	3564	2132	360	297	242
ENST00000368885	115	74	68	7	2	8
ENST00000368886	1	2		1	3	1
ENST00000368887	4	3	4			
ENST00000368888	26	24	35	23	9	18
ENST00000368890	23	24	33	21	9	18
ENST00000368892	532	368	237	105	66	89
ENST00000368902	45	36	18	11	9	5
ENST00000368905	69	60	27	16	9	8
ENST00000368908	9	17	14	7	10	10
ENST00000368911	36	29	28	16	17	12
ENST00000368912		4	1	1	1	1
ENST00000368913		4	1	1	1	1
ENST00000368914		4	1	1	1	1
ENST00000368916	44	34	31	26	16	18
ENST00000368918	44	35	31	26	16	19
ENST00000368921			1		1	
ENST00000368926	28	23	14	7		3
ENST00000368930	261	154	116	35	30	36
ENST00000368931	4	3	4	1	1	1
ENST00000368932	305	191	145	38	30	40
ENST00000368934	18	16	10	11	6	8
ENST00000368935	17	16	10	11	5	8
ENST00000368936	17	16	10	11	6	8
ENST00000368937	18	16	10	11	6	8
ENST00000368938	3		1			
ENST00000368941	27	17	26	9	8	3
ENST00000368947	23	19	16	3	3	5
ENST00000368948	21	29	10	2	2	
ENST00000368949	249	166	111	13	10	15
ENST00000368954	355	260	188	24	13	20
ENST00000368959	3	6	3			
ENST00000368962	126	111	87	51	22	28
ENST00000368963	70	60	48	23	15	17
ENST00000368964	31	38	27	10	7	8
ENST00000368968	5	3	2	2		
ENST00000368969	470	362	295	143	96	118
ENST00000368970	7	5	4	2		1
ENST00000368972		2	1	1	1	1
ENST00000368977	19	15	15	1	3	2
ENST00000368979	44	23	18	1	2	3
ENST00000368984	67	34	38	2	2	1
ENST00000368985	1	2	1			1
ENST00000368988	29	24	12	10	3	4
ENST00000368989	29	24	13	10	3	5
ENST00000368990	31	25	14	10	3	4
ENST00000368999	36	40	42	14	15	15
ENST00000369000	24	30	31	8	12	9
ENST00000369001	24	30	30	8	12	9
ENST00000369002	521	448	358	130	139	118
ENST00000369004	36	40	42	14	15	15
ENST00000369005	53	52	53	18	20	24
ENST00000369014	1242	1151	606	125	110	120
ENST00000369016	1232	1150	607	124	110	119
ENST00000369017	19	19	21	10	3	5
ENST00000369023	42	36	38	15	9	12
ENST00000369026	475	356	306	35	21	38
ENST00000369031	12	4	7	1	1	2
ENST00000369037	63	27	29	15	11	12
ENST00000369038				1	1	1
ENST00000369039				1	1	1
ENST00000369040	56	48	32	16	16	11
ENST00000369041				1	1	1
ENST00000369042	8	14	13	9	8	12
ENST00000369043	56	50	32	16	16	11
ENST00000369044	56	51	33	10	6	9
ENST00000369046	94	71	57	11	7	10
ENST00000369047	1					
ENST00000369049	1					
ENST00000369051	63	58	42	14	7	7
ENST00000369054	285	277	209	30	26	23
ENST00000369056	19	11	15	8	6	8
ENST00000369058	19	11	15	8	6	8
ENST00000369059	14	9	8	7	3	5
ENST00000369060	19	9	15	8	6	7
ENST00000369061	18	9	14	7	6	6
ENST00000369063	16	15	16	18	18	14
ENST00000369064	386	342	259	56	37	35
ENST00000369067	36	29	20	12	12	14
ENST00000369068	170	135	104	39	24	30
ENST00000369070	13	3	10	7	3	4
ENST00000369075	412	285	199	45	37	52
ENST00000369076	21	15	20	13	6	7
ENST00000369077	246	193	134	17	19	15
ENST00000369081	64	84	42	22	12	14
ENST00000369085	242	204	130	38	21	38
ENST00000369086	104	81	57	10	31	7
ENST00000369089	1					
ENST00000369091	2					
ENST00000369093	342	273	256	105	106	81
ENST00000369094	54	44	32	13	10	7
ENST00000369095	54	46	32	13	10	8
ENST00000369096	2					
ENST00000369098		2	7	5	3	5
ENST00000369099		1	5	3	1	4
ENST00000369101	175	182	86	32	28	24
ENST00000369102		1	5	3	1	4
ENST00000369103	176	184	86	32	29	24
ENST00000369109	317	235	193	41	24	42
ENST00000369110	70	65	49	14	14	6
ENST00000369111			1			
ENST00000369114	799	592	384	96	76	50
ENST00000369115	1825	1340	845	184	153	104
ENST00000369124	27	18	9	2	7	7
ENST00000369125	13	7	8	5	5	6
ENST00000369126	14	9	5	1	4	5
ENST00000369128	179	125	108	22	14	21
ENST00000369131	16	6	5	3	2	4
ENST00000369140	8	8	12	10	7	6
ENST00000369143	5	2	1	2	2	2
ENST00000369144	3169	2383	1878	397	404	362
ENST00000369145				1		
ENST00000369146				1		
ENST00000369150	6	8	10	1		1
ENST00000369151	45	27	29	10	4	14
ENST00000369152	6	8	10	1		1
ENST00000369153	6	8	10	1		1
ENST00000369155	620	423	304	87	21	78
ENST00000369158	2311	1501	942	129	52	128
ENST00000369159	7403	5592	3728	462	133	278
ENST00000369162	363	281	252	99	74	77
ENST00000369163	443	281	206	9	2	17
ENST00000369167	3468	2315	1442	469	224	331
ENST00000369170	39	38	35	26	24	24
ENST00000369172	58	48	51	31	27	29
ENST00000369175	30	18	38	30	26	16
ENST00000369183	58	48	51	31	27	29
ENST00000369199	9	6	11	7	7	5
ENST00000369209	19	10	10	1	3	3
ENST00000369212	1					
ENST00000369217	15	12	9	9	2	4
ENST00000369220	80	65	54	20	19	14
ENST00000369227	522	729	927	969	753	539
ENST00000369233	10	13	11	1	3	3
ENST00000369234	123	100	76	38	17	43
ENST00000369236	123	100	76	38	17	43
ENST00000369239	397	355	317	121	107	84
ENST00000369240	24	11	10			
ENST00000369244	2	8	6	2	5	4
ENST00000369246	5	9	3			1
ENST00000369248	69	78	42	20	28	17
ENST00000369250	61	64	37	20	27	13
ENST00000369251	40	27	43	17	10	14
ENST00000369253	18	14	15	5	6	9
ENST00000369256	20	16	15	5	7	14
ENST00000369258	356	292	221	99	75	56
ENST00000369259	317	234	187	91	68	51
ENST00000369271	37	45	20	5	6	5
ENST00000369272	1	4	1	2		
ENST00000369278	406	288	236	34	33	26
ENST00000369280			1			
ENST00000369282			1			
ENST00000369285	7	5	4	1		1
ENST00000369286	7	5	4	1		1
ENST00000369287	54	36	39	12	17	19
ENST00000369293	1			2		
ENST00000369294	112	79	66	36	22	26
ENST00000369295	1			1		1
ENST00000369298	138	88	77	8	13	13
ENST00000369301	245	209	141	72	33	49
ENST00000369303		2				
ENST00000369304	2		2	4	10	2
ENST00000369305	34	37	39	11	14	12
ENST00000369306	29	21	20	4	3	5
ENST00000369307	1795	1339	821	154	126	118
ENST00000369310	4	7	3	1		2
ENST00000369312	3	7	4	1		1
ENST00000369313	362	292	173	29	25	15
ENST00000369314	376	307	183	31	25	16
ENST00000369315	66	47	26	6	10	12
ENST00000369318	71	49	27	6	10	12
ENST00000369321	47	41	14	6	11	9
ENST00000369325	58	63	53	45	34	37
ENST00000369327	58	63	53	45	34	37
ENST00000369329	58	65	53	45	34	37
ENST00000369331	58	35	23	8	10	10
ENST00000369332	58	65	53	45	34	37
ENST00000369347	4	5	3	3	1	2
ENST00000369349	139	146	98	41	31	36
ENST00000369351	139	146	98	41	31	36
ENST00000369354	157	165	118	69	66	50
ENST00000369356	158	165	118	69	65	50
ENST00000369367	739	643	444	206	195	173
ENST00000369373	709	793	1045	1003	861	532
ENST00000369386	26	20	17	11	15	10
ENST00000369389	29	24	18	11	16	10
ENST00000369390	27	24	35	29	20	13
ENST00000369393	721	616	607	319	288	249
ENST00000369395	47	45	38	22	26	17
ENST00000369397	48	48	38	22	26	17
ENST00000369400				2	1	1
ENST00000369404	19	25	23	17	10	11
ENST00000369405	19	25	23	17	10	11
ENST00000369408	7	8	11	9	9	4
ENST00000369409	899	607	380	94	65	113
ENST00000369415	14	8	1	1	1	1
ENST00000369423			4			
ENST00000369425	35	29	28	7	6	2
ENST00000369426	17	16	13	2	1	4
ENST00000369439	18	6	9	2	2	2
ENST00000369441	1		2			
ENST00000369442	45	43	37	19	18	15
ENST00000369443	45	43	37	19	18	15
ENST00000369448	48	38	19	7	7	15
ENST00000369449		1				1
ENST00000369452	40	41	27	9	9	11
ENST00000369454	24	34	9	3	3	2
ENST00000369458	4		3			
ENST00000369459	352	271	149	23	23	21
ENST00000369461	8	6	6	7	4	3
ENST00000369462	453	374	193	36	29	31
ENST00000369464	8	6	7	7	4	3
ENST00000369466	733	621	453	180	129	126
ENST00000369470	2	2		5	1	
ENST00000369472	39	28	21	7	1	5
ENST00000369475	85	61	52	23	13	8
ENST00000369476	4	1	3	1		1
ENST00000369479	18	14	8	3	3	2
ENST00000369483	126	94	69	27	20	34
ENST00000369484	18	14	8	3	3	2
ENST00000369485	85	61	51	23	13	8
ENST00000369486	126	94	69	27	20	34
ENST00000369487	21	18	8	1		
ENST00000369489	21	18	8	1		
ENST00000369494	100	57	60	16	9	7
ENST00000369496	3054	2188	1531	244	147	191
ENST00000369498	391	346	199	48	24	48
ENST00000369500		1				
ENST00000369502	6	4	9	9	8	6
ENST00000369503	18	11	15	14	16	16
ENST00000369505	28	23	16	2	4	10
ENST00000369509	287	178	136	24	17	31
ENST00000369510	227	139	108	22	15	28
ENST00000369515		1	1			
ENST00000369516		1	1			
ENST00000369519	3			1	2	1
ENST00000369528	321	273	153	48	22	20
ENST00000369530	6224	4365	3225	763	574	633
ENST00000369534	2					
ENST00000369535	217	110	99	50	37	52
ENST00000369536	67	47	56	18	12	9
ENST00000369538			2		2	1
ENST00000369541	600	407	277	39	20	33
ENST00000369543	720	648	503	280	218	215
ENST00000369550	1601	1183	882	159	142	129
ENST00000369551	19	10	9	8	9	7
ENST00000369552	180	158	92	12	7	13
ENST00000369553	172	141	137	110	60	109
ENST00000369555	322	262	275	210	119	184
ENST00000369556	146	136	77	10	6	10
ENST00000369557	17	7	4	2	1	1
ENST00000369558	325	263	277	212	120	185
ENST00000369559	321	263	276	211	117	183
ENST00000369561	320	260	270	211	120	185
ENST00000369562	9	9	6	3	5	6
ENST00000369564	169	95	79	17	13	14
ENST00000369567	236	168	127	24	17	20
ENST00000369569	306	210	166	30	19	24
ENST00000369571	98	62	50	9	7	7
ENST00000369576	1	1	5	1		1
ENST00000369577	121	131	77	49	40	46
ENST00000369583	2		3	1		
ENST00000369592	199	155	127	61	49	32
ENST00000369598	21	23	42	29	29	23
ENST00000369600	22	27	44	33	35	25
ENST00000369603	200	155	127	61	49	32
ENST00000369604	24	27	44	33	35	25
ENST00000369611	58	70	104	81	51	45
ENST00000369612	29	22	8	5	4	4
ENST00000369615	58	70	104	81	51	45
ENST00000369617	58	70	104	81	51	45
ENST00000369620	1484	887	675	124	63	116
ENST00000369622	1562	1331	805	125	163	117
ENST00000369626	60	74	40	7	4	6
ENST00000369627	322	226	191	59	39	37
ENST00000369632	412	295	214	49	37	52
ENST00000369633	412	295	214	49	37	52
ENST00000369635	25	19	7	3	2	
ENST00000369636	266	167	155	31	26	39
ENST00000369637	412	295	214	49	37	52
ENST00000369638	412	295	214	49	37	52
ENST00000369641	24	13	13	8	5	2
ENST00000369642	412	295	214	49	37	52
ENST00000369643	25	13	13	8	5	2
ENST00000369644	166	149	134	34	33	25
ENST00000369645	176	155	135	34	34	27
ENST00000369646	1		1			
ENST00000369649	14	5	11	5	2	7
ENST00000369651	1		1			
ENST00000369653	37	19	15	2		5
ENST00000369660	41	24	18	2		4
ENST00000369664	16	11	15	2	1	4
ENST00000369666	20	17	19	3	5	7
ENST00000369669	1	7	5	1	4	3
ENST00000369679	5	12	10	4	3	1
ENST00000369681	33	28	25	6	8	2
ENST00000369682	106	97	130	91	60	79
ENST00000369683	94	59	48	11	8	12
ENST00000369697		1				2
ENST00000369702	294	253	172	43	20	25
ENST00000369704				1		1
ENST00000369705	465	269	198	48	31	30
ENST00000369707	57	47	28	4	3	5
ENST00000369709	124	101	94	32	31	27
ENST00000369710	56	36	30	3	3	1
ENST00000369713	64	42	31	3	3	2
ENST00000369719					2	1
ENST00000369720					3	1
ENST00000369722	444	272	198	6	11	6
ENST00000369724	34	19	18	5	7	8
ENST00000369727	23	22	13	1	4	3
ENST00000369729	13	14	7	1	4	3
ENST00000369732			2			
ENST00000369733		1	1		1	1
ENST00000369739	61	59	71	22	27	22
ENST00000369746	13	16	10	24	22	19
ENST00000369747	36	34	27	20	17	14
ENST00000369750	143	145	92	13	8	17
ENST00000369752	33	39	38	17	8	13
ENST00000369754	109	56	55	6	5	12
ENST00000369755	414	314	285	103	78	71
ENST00000369756	111	56	57	7	5	13
ENST00000369758	60	57	57	22	17	14
ENST00000369760	58	38	26	10	5	7
ENST00000369762	121	69	45	5	3	7
ENST00000369763	29	38	29	48	29	15
ENST00000369764	39	19	25	13	7	12
ENST00000369774	3	3	6	2		2
ENST00000369776	36	20	22	11	6	7
ENST00000369779	8		1	1		
ENST00000369781	6			1		
ENST00000369784	136	131	93	51	38	49
ENST00000369787	2	1				
ENST00000369788	1	1			1	
ENST00000369795	103	89	74	24	21	26
ENST00000369796	101	84	69	21	21	23
ENST00000369797	579	505	365	154	140	127
ENST00000369798	142	97	64	19	14	26
ENST00000369799	263	184	158	34	37	31
ENST00000369800		2	3			1
ENST00000369801	5	3	2	1		1
ENST00000369802	7	3	3	1		1
ENST00000369807	36	33	31	6	8	8
ENST00000369808	36	33	31	6	8	8
ENST00000369809	36	33	31	6	8	8
ENST00000369811	65	38	24	3		1
ENST00000369812	37	34	24	8	10	6
ENST00000369815	65	38	24	3		1
ENST00000369816	37	22	24	2		5
ENST00000369817	1195	983	597	82	46	58
ENST00000369819	38	36	25	8	10	6
ENST00000369823	38	37	25	8	10	6
ENST00000369825	65	38	24	3		1
ENST00000369827		1				
ENST00000369829		1				
ENST00000369831		1				
ENST00000369833	64	56	44	14	23	9
ENST00000369835	111	79	52	29	17	27
ENST00000369836	66	57	44	15	23	9
ENST00000369838	28	12	12	1	1	
ENST00000369839	46	38	29	8	11	7
ENST00000369840	72	57	65	34	29	34
ENST00000369842	117	86	54	30	17	27
ENST00000369846		1	2		3	
ENST00000369847	58	40	20	18	8	8
ENST00000369850	8696	5182	4495	1582	966	1723
ENST00000369851	372	277	180	23	16	20
ENST00000369856	8694	5182	4493	1582	966	1723
ENST00000369857	77	54	46	8	4	6
ENST00000369862	10	3	4			1
ENST00000369864	10	3	4			1
ENST00000369868	4	4		2		4
ENST00000369870	17	15	7	1	2	3
ENST00000369875	27	13	15	8	8	9
ENST00000369878	35	15	17	9	10	9
ENST00000369880	21	4	11	1	4	
ENST00000369883	10	5	3			
ENST00000369886	1		2	2		
ENST00000369887				1		
ENST00000369888	174	178	128	84	82	86
ENST00000369889	39	17	14	2	2	5
ENST00000369893	41	34	31	18	13	12
ENST00000369899	32	21	19	4	4	6
ENST00000369902	36	24	24	6	6	7
ENST00000369903	361	277	125	42	34	39
ENST00000369904	382	297	139	54	35	57
ENST00000369905	283	228	170	30	11	17
ENST00000369907	361	277	125	42	34	39
ENST00000369908	32	38	24	25	18	12
ENST00000369909	361	277	125	42	34	39
ENST00000369912			1			
ENST00000369915			1			
ENST00000369923	2576	1778	1040	220	183	172
ENST00000369927	647	391	283	58	35	61
ENST00000369931	5	1				
ENST00000369937	96	86	66	15	11	13
ENST00000369939	317	254	183	29	19	23
ENST00000369940	2	7		3	2	2
ENST00000369956		3	3	1		
ENST00000369957	1		1		1	
ENST00000369962	88	59	49	11	12	12
ENST00000369965	88	59	49	11	12	12
ENST00000369966	144	96	82	32	30	29
ENST00000369967	144	116	110	77	38	57
ENST00000369968	259	191	140	53	42	35
ENST00000369969	273	199	144	53	44	35
ENST00000369970	267	198	140	52	43	35
ENST00000369973	182	192	150	87	43	104
ENST00000369974	234	240	191	93	49	124
ENST00000369975	454	329	305	71	69	50
ENST00000369976	114	85	72	50	36	37
ENST00000369977	454	328	305	71	69	50
ENST00000369980	286	275	209	125	63	151
ENST00000369982	7	1	1	1		1
ENST00000369983	383	291	272	74	69	72
ENST00000369984	127	136	144	59	35	49
ENST00000369985	454	329	305	71	69	50
ENST00000369996	3	20	13	5	3	10
ENST00000369997	3		1	2		2
ENST00000370007	1258	1164	782	479	468	404
ENST00000370008	241	193	129	36	38	26
ENST00000370009	641	529	330	105	55	51
ENST00000370010	137	147	182	134	166	101
ENST00000370011	239	196	98	16	27	11
ENST00000370012	54	37	46	16	10	18
ENST00000370015	466	369	233	85	42	40
ENST00000370016	19	18	18	10	2	10
ENST00000370017	1			3	3	9
ENST00000370018	66	101	127	81	78	75
ENST00000370021	741	606	525	104	127	79
ENST00000370022	131	118	81	30	26	22
ENST00000370025	815	682	574	116	145	94
ENST00000370028	19	19	21	10	2	10
ENST00000370031	49	24	30	3	6	3
ENST00000370032	49	24	30	3	6	3
ENST00000370033	132	125	101	37	27	28
ENST00000370035	373	244	156	22	20	21
ENST00000370040	25	31	45	33	49	26
ENST00000370041	546	347	278	58	52	41
ENST00000370046		1			1	
ENST00000370050	116	93	62	2	3	5
ENST00000370053	812	542	301	134	68	107
ENST00000370055	364	196	179	92	49	71
ENST00000370056	49	39	26	13	10	6
ENST00000370058	64	52	19	7	6	18
ENST00000370060	332	177	169	89	49	69
ENST00000370069	51	45	25	10	4	9
ENST00000370077	89	70	54	26	15	17
ENST00000370078	482	311	249	46	30	66
ENST00000370079				1	1	
ENST00000370080				1	1	
ENST00000370081	177	123	78	19	9	8
ENST00000370083				1	1	
ENST00000370085	432	299	212	12	3	11
ENST00000370086	557	371	275	13	4	11
ENST00000370087	557	371	275	13	4	11
ENST00000370089	177	123	78	19	9	8
ENST00000370092	155	96	88	10	13	15
ENST00000370093	155	96	88	10	13	15
ENST00000370094	234	238	226	100	75	57
ENST00000370100					2	
ENST00000370101					2	
ENST00000370104					2	
ENST00000370108					2	
ENST00000370109	98	83	55	12	7	7
ENST00000370110	825	661	335	149	100	147
ENST00000370111	19	16	10	4	5	4
ENST00000370112	40	40	28	2	4	5
ENST00000370113	3	5	3	1	1	1
ENST00000370114	3	5	3	1	1	1
ENST00000370124	2	1	2	1		2
ENST00000370126	6	3				
ENST00000370128	66	36	20	8	13	6
ENST00000370129	3	3	4	1	1	3
ENST00000370131	31	17	15	3	5	1
ENST00000370132	37	21	21	4	5	2
ENST00000370137	1		1		2	
ENST00000370138	1				2	
ENST00000370139	11	12	5	2	6	4
ENST00000370141	36	37	24	8	22	11
ENST00000370143	13	12	7	3	2	4
ENST00000370147	62	31	24	6	4	7
ENST00000370151	69	36	27	6	4	9
ENST00000370152	103	71	53	7	8	4
ENST00000370153	10	12	16	1	1	2
ENST00000370155			1			
ENST00000370161	94	61	59	29	20	16
ENST00000370162	36	36	35	16	19	20
ENST00000370163	94	61	59	29	20	16
ENST00000370165	94	61	59	29	20	16
ENST00000370167	2	1	2		1	4
ENST00000370168	9	7	11	8	5	4
ENST00000370169	36	36	35	16	19	20
ENST00000370172	20	22	21	12	8	11
ENST00000370177	35	19	24	11	3	8
ENST00000370179	34	19	23	11	3	8
ENST00000370183	7	9	6		1	1
ENST00000370186						1
ENST00000370187	51	39	35	3	7	6
ENST00000370188	8	9	3			1
ENST00000370197	57	40	26	15	12	12
ENST00000370198	57	40	26	15	12	12
ENST00000370200	7	6	8	5	4	5
ENST00000370202	15	13	9	3		3
ENST00000370203	2	3				
ENST00000370205	9	6	4			
ENST00000370207	3	2	2			
ENST00000370210	38	12	15	4	2	4
ENST00000370211	116	74	59	12	12	31
ENST00000370212	2	6	3	2	2	1
ENST00000370214	194	157	112	31	13	16
ENST00000370215	2	1	2	2	2	1
