transcript	Control_rep1	Control_rep2	Control_rep3	LeuStarve_rep1	LeuStarve_rep2	LeuStarve_rep3
ENST00000393316	1					
ENST00000393319	1	1	1	3		1
ENST00000393320	1				3	
ENST00000393324			1			
ENST00000393328	430	305	437	493	703	448
ENST00000393329	20	8	13	14	20	14
ENST00000393335	180	129	188	187	245	167
ENST00000393337	16	21	19	25	56	23
ENST00000393340	95	96	94	92	97	65
ENST00000393346	653	412	666	690	774	546
ENST00000393347	100	87	151	150	185	129
ENST00000393349	49	31	68	55	68	39
ENST00000393350	122	77	94	123	172	108
ENST00000393352	60	36	44	87	87	61
ENST00000393353	60	36	44	87	87	61
ENST00000393356	37	23	55	45	80	47
ENST00000393357	61	44	71	69	97	54
ENST00000393359	108	62	101	100	154	119
ENST00000393360	339	231	322	350	442	299
ENST00000393362	7	4	4	7	10	4
ENST00000393366	107	96	142	123	144	115
ENST00000393370	201	132	194	208	313	173
ENST00000393371	1	1	3		2	
ENST00000393375	33	14	29	21	28	25
ENST00000393376	235	184	241	235	301	202
ENST00000393381	230	153	267	238	313	207
ENST00000393382	4	1	3	4	5	1
ENST00000393384	21	22	34	25	25	29
ENST00000393386	3	8	6	5	11	7
ENST00000393387	586	436	655	579	824	557
ENST00000393389	13	4	21	16	13	11
ENST00000393392	11	5	23	19	13	14
ENST00000393399	195	115	201	220	210	153
ENST00000393400	7	3	9	7	13	11
ENST00000393405	78	62	92	97	109	76
ENST00000393408	3003	2353	3279	3653	4488	2972
ENST00000393409	111	92	125	140	194	135
ENST00000393410	77	66	103	114	107	74
ENST00000393412	78	66	104	115	108	74
ENST00000393413	76	65	103	111	100	73
ENST00000393416	402	299	479	552	653	376
ENST00000393417	16	6	7	23	28	11
ENST00000393420	42	44	67	53	49	31
ENST00000393422	42	44	67	53	49	31
ENST00000393427	324	244	413	442	429	309
ENST00000393430	131	68	117	96	118	99
ENST00000393431	5	5	3	7	9	5
ENST00000393432	10750	8107	12201	11070	14637	9037
ENST00000393434	7	5	5	7	9	6
ENST00000393436	739	561	871	1036	1299	796
ENST00000393437	94	62	107	114	133	90
ENST00000393438	549	421	529	419	542	383
ENST00000393441	121	93	127	111	131	91
ENST00000393443	35	19	31	33	42	31
ENST00000393444	35	20	32	33	44	31
ENST00000393445	51	41	63	87	84	53
ENST00000393446	35	19	31	33	44	31
ENST00000393447	35	19	32	32	44	31
ENST00000393449	35	18	31	32	43	31
ENST00000393451	35	20	32	33	45	31
ENST00000393452	295	213	284	200	271	208
ENST00000393454	309	216	296	208	276	211
ENST00000393456	143	131	162	218	248	183
ENST00000393459	3		3	2	4	4
ENST00000393465	37	36	45	43	59	53
ENST00000393467	2	6	4	4	4	2
ENST00000393468	2	6	4	4	4	2
ENST00000393469	2	4	2	3	4	5
ENST00000393470	2	6	4	4	4	2
ENST00000393471	16	8	17	16	29	18
ENST00000393473	16	8	17	16	29	18
ENST00000393480	11	8	15	10	19	12
ENST00000393481	229	150	201	465	645	363
ENST00000393483	4	9	10	13	9	13
ENST00000393486	25	16	30	28	33	22
ENST00000393487	26	21	29	45	51	23
ENST00000393489	2	6	11	5	8	7
ENST00000393494	27	24	45	32	45	30
ENST00000393498	27	24	45	32	45	30
ENST00000393512	619	448	679	679	832	511
ENST00000393514	823	586	887	741	1016	659
ENST00000393524	139	103	136	82	109	79
ENST00000393527	430	348	481	468	667	420
ENST00000393528			2	1		
ENST00000393531	240	163	241	210	277	207
ENST00000393533	357	303	411	415	591	355
ENST00000393537	20	21	32	27	46	31
ENST00000393539	30	15	31	33	64	33
ENST00000393540	2		6		4	5
ENST00000393543	3	1	4	1	11	5
ENST00000393545	8	12	10	9	11	11
ENST00000393547	22	31	38	27	41	33
ENST00000393551	33	29	36	40	57	38
ENST00000393555	31	35	40	33	40	40
ENST00000393560	164	92	197	142	177	109
ENST00000393561	342	254	445	290	380	284
ENST00000393562	180	172	228	283	277	220
ENST00000393564	158	139	187	262	255	201
ENST00000393565	294	303	386	526	911	491
ENST00000393567	3	2	2	2	1	
ENST00000393568	17	13	21	19	16	10
ENST00000393569	17	13	21	19	16	10
ENST00000393572	10	14	13	20	32	24
ENST00000393576	211	172	275	275	354	223
ENST00000393577	146	117	158	170	193	141
ENST00000393578	146	117	158	169	192	141
ENST00000393580	13	17	14	16	24	12
ENST00000393585	64	49	82	93	109	93
ENST00000393586	4	7	9	6	9	13
ENST00000393587	4	7	9	6	9	8
ENST00000393588	64	49	82	93	109	93
ENST00000393593	4	2	6	6	6	8
ENST00000393594	80	63	74	102	158	92
ENST00000393596	1		1	4	2	1
ENST00000393597	1		1	4	2	1
ENST00000393599	5	4	2	4	3	3
ENST00000393600	2686	2066	2982	3577	4458	2965
ENST00000393603	204	149	237	189	250	173
ENST00000393605	244	181	282	298	334	273
ENST00000393606	1689	1246	1955	2090	2707	1810
ENST00000393609	249	187	293	311	342	278
ENST00000393611	104	93	134	171	202	150
ENST00000393612	273	216	282	324	416	260
ENST00000393614	530	423	611	667	762	519
ENST00000393623	132	89	163	123	142	120
ENST00000393629	208	166	306	191	290	186
ENST00000393630	208	166	306	191	290	186
ENST00000393631					1	
ENST00000393637	30	29	35	32	34	41
ENST00000393638	9	11	10	19	19	12
ENST00000393639	11	10	9	18	15	14
ENST00000393640	4	3	14	10	7	6
ENST00000393648	30	28	35	31	34	41
ENST00000393650	65	47	60	78	117	77
ENST00000393651	399	265	464	494	581	412
ENST00000393657	448	319	492	438	529	342
ENST00000393658	101	68	109	134	156	93
ENST00000393661	1	3	3	2	1	4
ENST00000393664	5	6	4	3	5	5
ENST00000393667	1300	977	1480	1292	1680	1186
ENST00000393674	54	41	61	98	153	96
ENST00000393676		2	2			
ENST00000393677	96	65	108	97	139	107
ENST00000393679		2	2			
ENST00000393681		2	2			
ENST00000393687	169	138	221	227	348	249
ENST00000393693	21	26	32	46	45	32
ENST00000393695	1208	988	1510	1315	1654	1186
ENST00000393700	18	13	26	30	33	21
ENST00000393702	8	6	11	9	13	7
ENST00000393704	1	3	8	5	2	4
ENST00000393706	56	56	83	79	84	63
ENST00000393708	23	13	35	23	42	21
ENST00000393711	92	90	110	123	157	104
ENST00000393712	1109	821	1266	1226	1387	1103
ENST00000393713	9	5	8	15	12	12
ENST00000393717	3					
ENST00000393721	2	2	2		2	4
ENST00000393725	30	17	38	40	66	41
ENST00000393733	125	119	173	168	197	162
ENST00000393734	86	49	76	72	91	64
ENST00000393742	5	2	5	8	7	1
ENST00000393743	21	19	27	22	25	11
ENST00000393745		1	2	2	3	
ENST00000393752				1		
ENST00000393758	5	11	9	12	24	17
ENST00000393760	59	37	65	60	78	61
ENST00000393765	56	36	70	55	66	45
ENST00000393766	70	52	81	42	29	22
ENST00000393770	46	39	55	45	66	69
ENST00000393775	1			1		
ENST00000393780	12	20	17	24	17	22
ENST00000393784	110	104	138	172	171	135
ENST00000393791	1				1	
ENST00000393792	84	59	104	114	118	97
ENST00000393793	597	539	709	508	689	451
ENST00000393795	231	160	245	382	553	327
ENST00000393796	557	502	645	456	625	418
ENST00000393797	1				1	
ENST00000393800	686	458	835	882	1094	747
ENST00000393801	678	448	797	872	1072	729
ENST00000393802	111	101	131	103	124	78
ENST00000393805	8	4	7	9	13	4
ENST00000393808	8	4	7	9	13	4
ENST00000393810	31	22	40	37	37	29
ENST00000393812	69	52	99	116	113	75
ENST00000393815					2	
ENST00000393818	95	63	142	116	131	104
ENST00000393820	40414	31320	47528	33970	42901	29855
ENST00000393824	81	56	97	141	168	113
ENST00000393829	349	266	397	370	482	337
ENST00000393830			2	2	1	1
ENST00000393832	15	18	22	33	39	33
ENST00000393842	2	5	8	11	8	5
ENST00000393844	150	98	165	184	249	158
ENST00000393845	44	39	42	36	53	42
ENST00000393847				1		
ENST00000393852	5	2	6	3	6	4
ENST00000393860	208	179	272	347	404	273
ENST00000393862					1	
ENST00000393868	675	515	773	644	757	454
ENST00000393869	8	12	8	6	12	5
ENST00000393877	6	6	8	9	4	4
ENST00000393880	556	344	567	553	718	609
ENST00000393881	556	344	567	553	718	609
ENST00000393883	30	25	30	40	48	31
ENST00000393885	556	344	567	553	718	610
ENST00000393888	106	106	150	129	190	108
ENST00000393891	10205	9184	11734	7830	8982	6538
ENST00000393892	108	106	150	129	190	108
ENST00000393893	232	206	252	235	297	221
ENST00000393896	4311	3208	4949	4141	5398	3650
ENST00000393900	3	5	6	3	3	3
ENST00000393909	801	624	964	650	873	543
ENST00000393913					1	
ENST00000393915	432	296	468	460	649	419
ENST00000393920	2	1			3	3
ENST00000393921	2	1			3	3
ENST00000393923	29	31	40	37	58	23
ENST00000393924	60	61	83	126	154	84
ENST00000393925	29	30	41	36	57	23
ENST00000393926	60	61	83	126	154	84
ENST00000393927	8	8	6	17	17	14
ENST00000393928	85	95	117	158	169	89
ENST00000393929	894	648	995	816	883	586
ENST00000393930	171	141	229	239	308	181
ENST00000393931	171	143	229	239	309	181
ENST00000393934	5	4	1	6	2	4
ENST00000393937	14	11	14	9	19	9
ENST00000393939	91	68	99	63	107	61
ENST00000393946					1	1
ENST00000393950	4	4	6	5	8	3
ENST00000393951	3	1	1	2	2	1
ENST00000393952	1	1		1	4	3
ENST00000393955	85	72	71	103	121	93
ENST00000393956	33	27	38	42	40	39
ENST00000393957	24	14	19	26	32	18
ENST00000393958	85	72	71	103	121	93
ENST00000393960	85	72	71	103	121	93
ENST00000393964	279	170	290	402	422	321
ENST00000393965	16	13	18	18	25	20
ENST00000393966	6	3	8	15	8	8
ENST00000393972	10	10	13	17	21	14
ENST00000393975			1		1	
ENST00000393977			1	1	4	1
ENST00000393979	247	225	279	281	309	247
ENST00000393980	3	2	3	3	2	4
ENST00000393985	124	74	91	150	164	126
ENST00000393987	115	117	172	184	244	195
ENST00000393991	4	5	12	4	14	11
ENST00000393994	38	38	64	92	89	67
ENST00000393997			1			
ENST00000394000						1
ENST00000394003	2699	2036	3111	3476	4640	3168
ENST00000394009	19	20	37	34	42	43
ENST00000394011		1		1	2	2
ENST00000394013	26	17	33	29	46	35
ENST00000394018	14	6	7	20	28	15
ENST00000394019					1	
ENST00000394022	3	2	4	3	8	6
ENST00000394023	548	448	640	673	847	548
ENST00000394026	37	23	38	42	57	33
ENST00000394030	43	27	47	49	53	34
ENST00000394036	1915	1492	2217	1923	2411	1618
ENST00000394037	108	74	104	101	137	77
ENST00000394045	1886	1467	2183	1889	2357	1580
ENST00000394048	701	498	759	656	824	602
ENST00000394049			1		1	
ENST00000394052	1	3	3	2	5	3
ENST00000394053	3256	2329	3487	4301	4862	3535
ENST00000394054	10	3	18	20	21	17
ENST00000394056	126	94	159	158	214	174
ENST00000394059	17	21	19	31	40	26
ENST00000394060	46	36	52	53	65	47
ENST00000394061	1	3	1	4		
ENST00000394063	29	22	35	32	54	27
ENST00000394065	135	117	181	173	238	144
ENST00000394066	195	153	235	248	332	202
ENST00000394067	218	165	273	292	389	245
ENST00000394070	126	98	185	200	224	151
ENST00000394071	72	58	80	89	152	85
ENST00000394073	126	98	185	200	224	151
ENST00000394074	425	251	400	427	506	441
ENST00000394077	4446	3672	6134	4056	4832	3760
ENST00000394078	99	59	108	136	175	115
ENST00000394081	23	12	19	11	13	14
ENST00000394083	755	547	896	606	795	526
ENST00000394084	280	211	332	282	392	233
ENST00000394085	6	5	4	4	8	4
ENST00000394086	23	12	19	11	13	14
ENST00000394089	23	12	19	11	13	14
ENST00000394091	46	26	36	41	50	40
ENST00000394092	31	36	50	79	108	63
ENST00000394094	64	31	50	55	67	50
ENST00000394095	67	32	51	56	68	51
ENST00000394103	7	7	5	8	6	9
ENST00000394104	737	524	873	597	785	517
ENST00000394105	755	547	896	606	795	526
ENST00000394106	17	3	12	15	22	16
ENST00000394109	39	33	46	40	58	32
ENST00000394110	349	253	416	382	489	296
ENST00000394111			1			1
ENST00000394113			1			
ENST00000394115	39	33	46	40	58	32
ENST00000394120	6	6	4	4	9	1
ENST00000394121	15	23	21	29	22	24
ENST00000394123	1558	1152	1852	1395	1677	1167
ENST00000394125	133	113	143	123	149	108
ENST00000394126	457	322	528	515	753	548
ENST00000394127	457	322	528	513	753	547
ENST00000394128	457	322	528	515	753	548
ENST00000394129	26	13	15	33	38	25
ENST00000394132	26	13	15	33	38	25
ENST00000394135	26	13	15	33	38	25
ENST00000394140	63	39	60	84	102	69
ENST00000394144	207	173	206	235	333	262
ENST00000394147	24	18	28	30	46	26
ENST00000394150	18	22	22	29	47	32
ENST00000394152	79	71	98	114	151	91
ENST00000394153	271	219	326	531	680	417
ENST00000394155	267	210	316	523	673	411
ENST00000394156				1	1	
ENST00000394157	152	90	164	170	237	153
ENST00000394159				1		1
ENST00000394162	26	14	21	17	31	18
ENST00000394163	42	32	38	42	58	29
ENST00000394164	326	209	372	320	442	292
ENST00000394166	55	59	83	113	154	117
ENST00000394168		5	2	4	8	3
ENST00000394169	10	13	15	16	21	17
ENST00000394170	74	49	93	118	147	92
ENST00000394171	26	30	46	60	85	61
ENST00000394175	2	1	1	2	4	4
ENST00000394179	2	1	1	2	4	4
ENST00000394180	175	129	173	164	176	141
ENST00000394181	181	136	178	171	179	147
ENST00000394185	175	129	173	164	176	141
ENST00000394186	1495	1225	1786	2098	2504	2002
ENST00000394189	6	6	6	11	15	7
ENST00000394196	244	140	306	386	538	358
ENST00000394198	430	327	504	422	478	394
ENST00000394199	42	52	67	57	77	53
ENST00000394202	549	425	637	740	846	503
ENST00000394203	108	88	107	183	173	128
ENST00000394205	108	88	107	183	173	128
ENST00000394207	21	13	21	29	31	18
ENST00000394215	25	23	14	28	30	14
ENST00000394221	162	118	195	210	234	168
ENST00000394222	154	104	193	189	214	139
ENST00000394223	9	16	14	29	19	22
ENST00000394224	6	8	16	20	24	22
ENST00000394226	24	15	35	38	55	30
ENST00000394228	9	16	14	29	19	22
ENST00000394231	72	68	98	94	97	71
ENST00000394234	45	34	72	71	91	61
ENST00000394235	161	111	175	235	304	214
ENST00000394236	119	72	131	119	139	118
ENST00000394239	41	30	57	20	34	31
ENST00000394243	3		1	1	1	1
ENST00000394246	1		2	1	3	2
ENST00000394249	1500	1133	1864	1627	2020	1508
ENST00000394250	29	35	48	37	54	42
ENST00000394252	43	18	35	48	47	36
ENST00000394253	4		7	4	9	7
ENST00000394258	156	151	239	253	329	195
ENST00000394260		1			1	
ENST00000394264	23	16	31	34	32	27
ENST00000394265			1			1
ENST00000394266	125	110	145	163	219	131
ENST00000394267			1			1
ENST00000394269	2650	2262	3363	3100	4213	3114
ENST00000394272	67	62	80	86	113	93
ENST00000394275	931	734	1071	879	1192	779
ENST00000394276	775	545	769	703	900	595
ENST00000394279	27	24	23	39	55	25
ENST00000394282	27	24	23	39	55	25
ENST00000394283	2	1	3	5	10	3
ENST00000394287	183	139	195	241	289	181
ENST00000394288	278	208	350	356	443	294
ENST00000394294	51	33	50	98	107	75
ENST00000394295	83	50	78	77	105	63
ENST00000394299	436	338	479	575	675	454
ENST00000394300	2	1	3	10	10	1
ENST00000394302	2	1	3	10	10	1
ENST00000394303	6	1	5	8	12	12
ENST00000394305	265	216	312	303	345	211
ENST00000394308	1564	1144	1783	3180	3512	2294
ENST00000394309	1563	1144	1783	3181	3512	2294
ENST00000394310	4	1	4	8	10	12
ENST00000394311	15	8	10	23	25	7
ENST00000394313	22	18	14	24	28	18
ENST00000394315	50	45	61	66	87	61
ENST00000394319	2	2	2	1	2	2
ENST00000394320	190	149	237	97	115	103
ENST00000394323	1	4	7	2	5	7
ENST00000394329	37	26	39	48	58	39
ENST00000394330		1			1	
ENST00000394331	70	45	73	66	95	61
ENST00000394332	9038	5879	9170	5371	6900	4855
ENST00000394333	1826	1423	2142	1027	1212	894
ENST00000394334	334	220	382	363	452	256
ENST00000394335	307	202	355	316	397	230
ENST00000394337	1		1	3	2	1
ENST00000394339	25	23	22	38	44	38
ENST00000394349	876	676	957	999	1013	872
ENST00000394351	30	12	23	19	33	20
ENST00000394353	98	70	119	124	157	111
ENST00000394357	96	61	92	87	132	88
ENST00000394362		1	2	3	3	2
ENST00000394363	86	55	94	87	116	89
ENST00000394366	1338	968	1608	2378	2964	1842
ENST00000394370	157	129	158	146	165	132
ENST00000394384	568	445	631	489	558	382
ENST00000394391	189	146	253	266	289	242
ENST00000394412	219	200	262	227	303	215
ENST00000394417	106	88	169	106	127	102
ENST00000394419	481	416	587	517	701	518
ENST00000394420	57	30	63	55	65	49
ENST00000394421	1057	781	1263	857	1348	894
ENST00000394422	1403	1164	1747	1174	1733	1195
ENST00000394426	4	2	3	3	9	8
ENST00000394427	10	4	6	11	11	7
ENST00000394428	1		2	2	2	2
ENST00000394429	1		2	2	2	2
ENST00000394430	3	2	6	6	5	3
ENST00000394431	3314	2409	3626	3172	4276	2931
ENST00000394432	3	2	9	7	10	10
ENST00000394434	2824	1917	3037	2788	3532	2321
ENST00000394435	17	17	13	29	25	24
ENST00000394439	33	22	23	25	40	35
ENST00000394440	6382	4209	6678	6173	7867	5237
ENST00000394441					1	
ENST00000394449	3		5	3	7	3
ENST00000394450	15	5	13	8	17	9
ENST00000394456	1126	898	1323	1099	1445	993
ENST00000394464	66	46	72	104	119	76
ENST00000394466	62	46	72	100	122	77
ENST00000394479	91	50	90	106	113	93
ENST00000394485	5	3	4	8	12	5
ENST00000394487	1					
ENST00000394503	61	62	92	75	92	53
ENST00000394505	71	68	103	86	102	58
ENST00000394507	71	68	103	86	102	58
ENST00000394510	340	237	367	267	360	241
ENST00000394511	40	28	48	40	49	30
ENST00000394514	238	158	277	276	343	236
ENST00000394518	469	319	518	398	521	348
ENST00000394519	362	245	411	439	567	375
ENST00000394520	362	245	411	439	567	375
ENST00000394522	85	50	93	145	173	115
ENST00000394524	95	53	105	156	192	126
ENST00000394531	51	30	72	92	137	105
ENST00000394532	69	32	79	107	142	101
ENST00000394536	7	5	9	3	9	7
ENST00000394537	96	81	121	125	167	123
ENST00000394546	62	36	57	62	88	55
ENST00000394547	49	26	42	38	54	28
ENST00000394549		1				
ENST00000394552	35	32	36	38	54	44
ENST00000394553	56	49	81	84	103	81
ENST00000394555	7	2	10	7	5	9
ENST00000394562	1					
ENST00000394566					1	
ENST00000394576	11	4	9	10	10	17
ENST00000394580	6656	5453	8099	5605	7096	4716
ENST00000394583	61	48	87	86	90	70
ENST00000394586	52	32	50	55	59	40
ENST00000394588	4	1	3	3	7	8
ENST00000394589	30	21	27	42	61	43
ENST00000394593	15	13	12	29	35	24
ENST00000394595	9	7	16	22	19	15
ENST00000394597	16	14	37	40	43	31
ENST00000394600	432	367	509	435	604	382
ENST00000394601	1105	867	1484	1310	1912	1234
ENST00000394605	3	2	6	5	8	10
ENST00000394606	228	183	261	248	301	211
ENST00000394607	30	12	28	29	30	14
ENST00000394609	237	233	362	230	286	189
ENST00000394610	260	189	342	371	456	294
ENST00000394611	259	253	381	245	319	206
ENST00000394620				1		
ENST00000394621	66	47	72	102	113	51
ENST00000394622	66	47	72	102	113	51
ENST00000394626	61	45	63	100	106	46
ENST00000394629	61	45	63	100	106	46
ENST00000394631	1288	1152	1461	1545	1975	1253
ENST00000394632	51	33	44	83	88	42
ENST00000394633				1		1
ENST00000394634	2	3	2	1	4	1
ENST00000394635	2	3	2	1	4	1
ENST00000394636	28	35	44	35	54	41
ENST00000394641	174	150	238	273	262	222
ENST00000394642	111	83	132	153	167	127
ENST00000394646	2	3	3	3	3	2
ENST00000394649	195	160	250	300	310	205
ENST00000394650	20	23	20	15	31	20
ENST00000394654	33	29	42	53	63	37
ENST00000394657	50	38	54	53	100	51
ENST00000394660			1			
ENST00000394665	1573	1145	1914	813	813	705
ENST00000394666	37	18	31	42	53	33
ENST00000394667	1580	1156	1929	817	816	706
ENST00000394668	1573	1145	1913	813	813	705
ENST00000394669	9	5	7	14	16	12
ENST00000394670	610	470	791	582	724	498
ENST00000394671	33	25	32	55	61	43
ENST00000394672	141	115	193	145	198	139
ENST00000394673	610	470	792	583	724	498
ENST00000394684	17	12	13	13	15	11
ENST00000394685	6	3	6	9	6	6
ENST00000394686	17	12	13	13	15	11
ENST00000394688	891	769	1122	1220	1397	974
ENST00000394689	881	766	1111	1215	1386	967
ENST00000394690	82	69	95	128	125	93
ENST00000394691	80	75	104	61	92	81
ENST00000394692	34	34	53	47	60	45
ENST00000394697		2	4	4	2	2
ENST00000394701	859	638	1082	1064	1271	787
ENST00000394703	71	45	66	96	109	93
ENST00000394705		1			1	1
ENST00000394706	76	45	59	72	67	42
ENST00000394708	79	46	63	73	69	44
ENST00000394709	43	23	39	11	18	10
ENST00000394715	19	21	29	41	54	42
ENST00000394717	30	15	27	23	24	27
ENST00000394718	11	5	17	16	9	10
ENST00000394722	263	189	333	285	403	273
ENST00000394723	264	191	334	285	406	275
ENST00000394725	23	10	27	23	30	22
ENST00000394728	89	70	120	129	167	107
ENST00000394729	160	101	207	158	222	145
ENST00000394730	87	70	119	128	162	105
ENST00000394735	75	63	85	97	124	80
ENST00000394738	320	232	388	419	511	336
ENST00000394744	93	73	106	117	154	109
ENST00000394745						1
ENST00000394747	4		4	2	4	2
ENST00000394748	4		4	2	4	2
ENST00000394751	2	4	6	2	6	4
ENST00000394752	128	103	174	139	203	126
ENST00000394754	2	4	6	2	6	4
ENST00000394762	20	17	27	26	20	16
ENST00000394765	49	67	79	114	127	91
ENST00000394767	1	1	1	2	1	2
ENST00000394773	84	60	86	101	107	77
ENST00000394775	21	23	29	49	58	25
ENST00000394780	435	281	517	667	846	568
ENST00000394783	151	112	138	179	233	153
ENST00000394785	33	22	43	41	42	42
ENST00000394789					1	
ENST00000394790	18	25	23	14	15	18
ENST00000394795	1173	904	1190	2044	2185	1417
ENST00000394797	5	3	5	5	14	5
ENST00000394799	2087	1673	2480	2322	3456	2255
ENST00000394800	6683	4937	7541	6424	7981	5638
ENST00000394801	67	57	67	102	111	80
ENST00000394803	67	57	67	102	111	80
ENST00000394804	67	57	67	102	111	80
ENST00000394805	6591	4858	7465	6360	7896	5586
ENST00000394806	2	3	6	4	4	3
ENST00000394807	30	22	34	19	41	29
ENST00000394809		1	2	1	3	2
ENST00000394815				1		
ENST00000394817	163	115	153	234	276	188
ENST00000394818	1596	1278	2014	1363	1901	1211
ENST00000394820	336	197	310	226	274	174
ENST00000394824	11	5	11	13	14	8
ENST00000394825	11	5	11	13	14	8
ENST00000394826		3			3	3
ENST00000394828	189	133	160	123	194	108
ENST00000394829	189	133	160	123	195	109
ENST00000394830	833	673	1050	982	1222	838
ENST00000394833	75	53	86	104	101	91
ENST00000394834	1	1	2	6	8	3
ENST00000394835	1	1	2	3	3	3
ENST00000394836	7	8	12	10	14	12
ENST00000394839	111	74	125	133	164	124
ENST00000394846	95	69	112	95	121	104
ENST00000394850	30	47	52	51	62	46
ENST00000394853	378	293	430	495	589	424
ENST00000394854	378	293	430	495	589	424
ENST00000394857	1	2	1	4	4	1
ENST00000394858	5	3	11	14	8	8
ENST00000394859	38	32	36	34	45	31
ENST00000394861	60	31	45	46	58	33
ENST00000394863	5	3	11	14	8	9
ENST00000394869	36	37	36	34	67	36
ENST00000394872	176	103	179	185	225	169
ENST00000394874	3	1	1	1	1	2
ENST00000394876	191	138	194	270	342	237
ENST00000394877	191	138	194	270	342	237
ENST00000394883	478	325	422	431	498	289
ENST00000394884	92	70	147	155	173	127
ENST00000394885	953	685	1003	1024	1026	722
ENST00000394886	421	323	503	522	661	434
ENST00000394888	288	198	328	252	307	235
ENST00000394890	304	217	329	361	442	280
ENST00000394893	183	162	220	215	262	179
ENST00000394894	581	432	645	493	620	418
ENST00000394900	114	100	165	146	198	117
ENST00000394901	5	7	8	6	10	5
ENST00000394903	169	136	203	192	223	166
ENST00000394904	48	49	63	46	71	46
ENST00000394906	342	295	390	451	576	364
ENST00000394907			3	2	1	
ENST00000394908	341	293	388	452	571	363
ENST00000394909	12	13	21	27	28	20
ENST00000394915	340	247	377	380	463	363
ENST00000394919	349	249	383	388	481	378
ENST00000394920	11239	9626	13781	9187	11685	8124
ENST00000394926	10	6	10	12	15	11
ENST00000394931	16	13	18	24	19	21
ENST00000394933	23	21	33	31	32	22
ENST00000394936	2325	1805	2522	2429	2883	1886
ENST00000394938	3975	3656	5049	2629	2661	1784
ENST00000394942	167	132	156	129	179	116
ENST00000394943	611	504	698	682	947	585
ENST00000394945	4	2	7	8	6	2
ENST00000394947	771	699	1041	852	1136	828
ENST00000394949	771	699	1041	852	1136	828
ENST00000394950	67	50	74	92	84	70
ENST00000394951	67	50	74	92	84	71
ENST00000394955				1		
ENST00000394961	150	132	153	232	269	211
ENST00000394963	187	157	252	217	279	185
ENST00000394965	350	244	331	254	306	234
ENST00000394967	29	19	27	25	44	32
ENST00000394970	74	45	91	61	75	60
ENST00000394971	21	15	14	9	15	14
ENST00000394973	15	4	11	11	12	12
ENST00000394975	63	68	80	101	109	112
ENST00000394976	59	54	67	75	76	67
ENST00000394979	51	45	62	71	98	78
ENST00000394983	27	17	35	16	29	16
ENST00000394986	245	217	280	406	462	318
ENST00000394987	64	67	94	53	69	59
ENST00000394989	218	179	235	351	404	263
ENST00000394990		2	6	4	4	6
ENST00000394991	245	217	280	406	462	318
ENST00000394997	308	197	295	238	316	228
ENST00000394998	172	139	211	260	347	212
ENST00000395002	26	19	50	37	64	41
ENST00000395003	4	2	3	4	2	1
ENST00000395006	414	342	560	575	631	415
ENST00000395008	19	15	36	36	52	27
ENST00000395009	125	133	173	202	223	184
ENST00000395010	9	5	12	12	21	12
ENST00000395011	28	20	34	31	53	33
ENST00000395023	17	19	27	24	43	26
ENST00000395029	20	28	35	32	59	37
ENST00000395038	133	111	159	132	144	97
ENST00000395040	57	49	44	76	101	72
ENST00000395042	26	13	26	27	24	18
ENST00000395044	353	253	461	295	352	247
ENST00000395045	57	49	44	76	101	72
ENST00000395047	353	254	463	296	352	247
ENST00000395048	3	3	3	5	12	5
ENST00000395049	3	3	2	5	12	5
ENST00000395051			1		2	1
ENST00000395052	1					1
ENST00000395053	154	125	166	247	275	149
ENST00000395057	128	126	172	183	223	147
ENST00000395064	176	158	217	210	227	143
ENST00000395065	2					1
ENST00000395066	177	115	179	148	177	151
ENST00000395067	57	44	54	78	63	55
ENST00000395068	137	144	170	184	260	165
ENST00000395069	2		2	1	2	1
ENST00000395074	2			2	2	1
ENST00000395076	197	143	221	155	210	144
ENST00000395080	1	2			1	1
ENST00000395081	46	28	70	60	84	74
ENST00000395089				1	1	
ENST00000395090	2	3	3	2	5	1
ENST00000395091	38	24	37	36	57	55
ENST00000395094	26	24	39	31	52	27
ENST00000395095	23	32	26	27	39	32
ENST00000395097	1	2	2	2	1	4
ENST00000395098	149	116	163	212	234	182
ENST00000395104	10	10	14	16	12	16
ENST00000395107		1	1	4	1	
ENST00000395108		1	1	4	1	
ENST00000395111	54	45	51	51	61	47
ENST00000395116	1	1			2	2
ENST00000395117					1	1
ENST00000395118		1				
ENST00000395119	3014	2310	3560	2204	2735	1828
ENST00000395120			3	1	4	1
ENST00000395125	151	112	182	199	217	142
ENST00000395126	24	17	38	28	24	22
ENST00000395127	843	558	778	796	875	615
ENST00000395131	583	424	726	951	1194	814
ENST00000395132	12	24	23	18	24	15
ENST00000395135	62	54	69	46	65	32
ENST00000395136	1728	1215	1954	1453	1977	1448
ENST00000395138	12	29	10	26	47	24
ENST00000395139	134	98	146	67	72	58
ENST00000395143					1	2
ENST00000395144					1	3
ENST00000395145					1	
ENST00000395146	75	55	83	91	80	52
ENST00000395147	40	34	52	56	48	34
ENST00000395148	37	28	33	52	74	51
ENST00000395153	26	12	20	31	32	19
ENST00000395154	25	17	32	24	31	23
ENST00000395155	25	17	32	24	31	24
ENST00000395156	25	17	32	24	31	23
ENST00000395157	4	1		2		
ENST00000395159	5	1	8	9	6	9
ENST00000395160	1			2		
ENST00000395166	4	1		2		
